state_name,rural_pct,state
Vermont,66.1,VT
Maine,61.5,ME
West Virginia,55.2,WV
Mississippi,54.4,MS
Montana,47.1,MT
Arkansas,43.9,AR
New Hampshire,42.4,NH
South Dakota,42.3,SD
Alabama,42.0,AL
Kentucky,41.6,KY
North Dakota,39.3,ND
Wyoming,37.4,WY
Iowa,37.3,IA
Oklahoma,35.8,OK
Alaska,35.1,AK
Tennessee,34.7,TN
Wisconsin,33.6,WI
North Carolina,33.3,NC
South Carolina,31.8,SC
Idaho,30.8,ID
Missouri,30.8,MO
Louisiana,29.1,LA
Indiana,28.9,IN
Minnesota,28.9,MN
Kansas,28.2,KS
Nebraska,28.1,NE
Michigan,27.1,MI
Georgia,26.6,GA
Virginia,24.9,VA
New Mexico,24.7,NM
Ohio,24.0,OH
Pennsylvania,23.6,PA
Oregon,19.7,OR
Delaware,17.9,DE
Texas,17.0,TX
Washington,16.6,WA
Maryland,14.7,MD
Colorado,14.4,CO
Hawaii,14.0,HI
Connecticut,13.8,CT
Illinois,13.2,IL
New York,12.9,NY
Arizona,11.5,AZ
Utah,10.8,UT
Rhode Island,9.7,RI
Florida,9.1,FL
Massachusetts,8.9,MA
New Jersey,6.3,NJ
Nevada,6.2,NV
California,5.8,CA
